Make,Model,Build Year,Engine Size,Transmission,Mileage [km],Fuel,Fuel efficiency,Price [EUR]
Audi,A5,2018,2,Automatic,8159,Petrol,50.4,24985
Audi,A5,2015,3,Semi-Auto,45070,Petrol,34.9,21985
Audi,Q3,2019,2,Automatic,16,Diesel,47.1,34985
Audi,A5,2019,2,Automatic,16,Diesel,51.4,29985
Audi,Q3,2019,2,Automatic,16,Diesel,47.1,34485
Audi,A1,2019,1,Manual,16,Petrol,49.6,19685
Audi,A4,2019,2,Automatic,16,Diesel,53.3,34985
Audi,A7,2019,3,Semi-Auto,16,Diesel,38.2,43885
Audi,A6,2019,2,Automatic,3218,Diesel,47.9,35895
Audi,Q2,2019,1.5,Automatic,16,Petrol,43.5,26985
Audi,A6,2019,3,Automatic,5648,Diesel,36.2,46985
Audi,A3,2019,1.5,Automatic,16,Petrol,44.8,23985
Audi,A5,2019,2,Automatic,16,Petrol,39.8,28985
Audi,A5,2019,2,Automatic,1625,Petrol,39.8,27985
Audi,A6,2019,2,Semi-Auto,805,Diesel,47.9,28985
Audi,A4,2019,2,Automatic,16,Petrol,42.8,29985
Audi,A3,2019,1.6,Manual,16,Diesel,54.3,21995
Audi,A5,2019,2,Automatic,16,Petrol,39.8,31985
Audi,A5,2019,2,Automatic,16,Diesel,51.4,32485
Audi,A3,2019,1.6,Manual,16,Diesel,51.4,21285
Audi,Q7,2019,3,Automatic,2430,Diesel,33.2,56985
Audi,RS3,2019,2.5,Semi-Auto,16,Petrol,30.1,43785
Audi,A4,2016,2,Semi-Auto,48021,Petrol,45.6,18498
Audi,A3,2014,1.8,Semi-Auto,44014,Petrol,42.8,14995
Audi,A4,2016,2,Manual,33604,Diesel,64.2,17998
Audi,A3,2014,1.2,Automatic,16949,Petrol,56.5,10985
Audi,A3,2016,2,Manual,41665,Diesel,70.6,12995
Audi,A1,2016,1,Manual,52883,Petrol,67.3,11495
Audi,Q5,2015,2,Semi-Auto,68854,Diesel,47.1,18295
Audi,A6,2015,3,Semi-Auto,78904,Diesel,50.4,18998
Audi,Q2,2017,1.6,Manual,36204,Diesel,64.2,18485
Audi,A8,2017,3,Automatic,2285,Diesel,50.4,38985
Audi,A5,2019,2,Automatic,16,Petrol,40.4,29485
Audi,A5,2017,2,Semi-Auto,43345,Diesel,62.8,22998
Audi,A8,2014,3,Semi-Auto,39881,Diesel,47.9,18998
Audi,A4,2017,1.4,Manual,30186,Petrol,51.4,17698
Audi,A5,2019,2,Automatic,16,Petrol,40.4,27995
Audi,Q3,2019,2,Manual,16,Diesel,42.8,31985
Audi,A4,2019,2,Automatic,16,Petrol,38.7,30995
Audi,A3,2017,1.4,Semi-Auto,35873,Petrol,56.5,18998
Audi,Q2,2017,1.4,Manual,29071,Petrol,52.3,16995
Audi,A3,2018,1.5,Manual,40225,Petrol,42.2,19995
Audi,Q2,2017,1,Manual,37076,Petrol,55.4,14495
Audi,A5,2014,2,Semi-Auto,130171,Diesel,60.1,12998
Audi,A4,2019,2,Automatic,16,Diesel,50.4,32485
Audi,A1,2019,1,Manual,16,Petrol,48.7,20485
Audi,Q3,2019,2,Automatic,16,Diesel,47.1,34485
Audi,Q3,2016,2,Manual,42597,Diesel,52.3,18698
Audi,Q5,2013,3,Semi-Auto,105322,Diesel,44.1,15998
Audi,TT,2018,1.8,Manual,54980,Petrol,47.1,16498
Audi,Q5,2019,2,Semi-Auto,161,Petrol,33.2,31998
Audi,Q3,2019,2,Automatic,1046,Diesel,47.1,35985
Audi,Q5,2019,2,Automatic,16,Diesel,38.2,37985
Audi,Q5,2019,2,Semi-Auto,16,Petrol,33.2,31998
Audi,A4,2019,2,Manual,4711,Petrol,41.5,18998
Audi,Q3,2018,1.4,Manual,11516,Petrol,51.4,19485
Audi,Q3,2016,2,Semi-Auto,50844,Diesel,50.4,19995
